experiment_id,broker,payload_size,qos,execution,timestamp,elapsed_s,pcap_file,prom_nanomq_messages_received,prom_nanomq_messages_sent,prom_nanomq_connections_count,prom_nanomq_memory_usage,prom_nanomq_cpu_usage,broker_cpu_pct,broker_mem_pct,broker_net_rx,broker_net_tx,broker_blk_r,broker_blk_w,broker_pids
nanomq_125kb_qos0_20260421T025452,nanomq,125kb,0,0,2026-04-21T03:13:39.333515+00:00,1076.99,results/125kb/captures/nanomq_125kb_qos0_20260421T025452.pcap,11924.0,3967.0,1.0,1830912.0,0.15,0.00,0.04,518MB,515MB,2.76MB,4.1kB,32
nanomq_125kb_qos0_20260421T025452,nanomq,125kb,0,1,2026-04-21T03:31:41.808062+00:00,1074.96,results/125kb/captures/nanomq_125kb_qos0_20260421T025452.pcap,23857.0,7936.0,1.0,2080768.0,0.13,0.00,0.05,1.04GB,1.03GB,3.92MB,4.1kB,32
nanomq_125kb_qos0_20260421T025452,nanomq,125kb,0,2,2026-04-21T03:49:45.297984+00:00,1076.16,results/125kb/captures/nanomq_125kb_qos0_20260421T025452.pcap,35818.0,11921.0,1.0,1847296.0,0.14,0.10,0.05,1.56GB,1.55GB,3.99MB,4.1kB,32
nanomq_125kb_qos0_20260421T025452,nanomq,125kb,0,3,2026-04-21T04:07:48.685352+00:00,1072.48,results/125kb/captures/nanomq_125kb_qos0_20260421T025452.pcap,47943.0,15958.0,1.0,2007040.0,0.14,0.00,0.05,2.07GB,2.06GB,3.99MB,4.1kB,32
nanomq_125kb_qos0_20260421T025452,nanomq,125kb,0,4,2026-04-21T04:25:48.434972+00:00,1070.42,results/125kb/captures/nanomq_125kb_qos0_20260421T025452.pcap,59916.0,19943.0,1.0,2002944.0,0.14,0.11,0.04,2.59GB,2.58GB,3.99MB,4.1kB,32
nanomq_125kb_qos0_20260421T025452,nanomq,125kb,0,5,2026-04-21T04:43:47.912099+00:00,1072.24,results/125kb/captures/nanomq_125kb_qos0_20260421T025452.pcap,71866.0,23917.0,1.0,1871872.0,0.14,0.00,0.04,3.11GB,3.09GB,3.99MB,4.1kB,32
nanomq_125kb_qos0_20260421T025452,nanomq,125kb,0,6,2026-04-21T05:01:49.041639+00:00,1073.51,results/125kb/captures/nanomq_125kb_qos0_20260421T025452.pcap,83808.0,27887.0,1.0,1863680.0,0.14,1.60,0.04,3.63GB,3.61GB,4.01MB,4.1kB,32
nanomq_125kb_qos0_20260421T025452,nanomq,125kb,0,7,2026-04-21T05:19:47.759823+00:00,1071.08,results/125kb/captures/nanomq_125kb_qos0_20260421T025452.pcap,95905.0,31912.0,1.0,2404352.0,0.15,0.00,0.04,4.15GB,4.12GB,4.01MB,4.1kB,32
nanomq_125kb_qos0_20260421T025452,nanomq,125kb,0,8,2026-04-21T05:37:45.377978+00:00,1070.11,results/125kb/captures/nanomq_125kb_qos0_20260421T025452.pcap,107842.0,35885.0,1.0,2015232.0,0.13,0.00,0.04,4.67GB,4.64GB,4.01MB,4.1kB,32
nanomq_125kb_qos0_20260421T025452,nanomq,125kb,0,9,2026-04-21T05:55:40.868319+00:00,1068.44,results/125kb/captures/nanomq_125kb_qos0_20260421T025452.pcap,119782.0,39857.0,1.0,1982464.0,0.15,0.01,0.04,5.18GB,5.15GB,4.01MB,4.1kB,32
