experiment_id,broker,payload_size,qos,execution,timestamp,elapsed_s,pcap_file,prom_com_hivemq_messages_incoming_publish_count,prom_com_hivemq_messages_outgoing_publish_count,prom_com_hivemq_networking_bytes_read_total,prom_com_hivemq_networking_bytes_written_total,prom_com_hivemq_subscriptions_overall_current,broker_cpu_pct,broker_mem_pct,broker_net_rx,broker_net_tx,broker_blk_r,broker_blk_w,broker_pids
hivemq_1mb_qos0_20260421T204444,hivemq,1mb,0,0,2026-04-21T21:04:07.097213+00:00,1111.32,results/1mb/captures/hivemq_1mb_qos0_20260421T204444.pcap,3960.0,3960.0,4153305926.0,,1.0,0.48,15.57,4.21GB,4.21GB,67.3MB,877MB,56
hivemq_1mb_qos0_20260421T204444,hivemq,1mb,0,1,2026-04-21T21:22:45.119951+00:00,1110.4,results/1mb/captures/hivemq_1mb_qos0_20260421T204444.pcap,7978.0,7978.0,8367443072.0,,1.0,0.49,15.52,8.42GB,8.42GB,71.8MB,1.61GB,57
hivemq_1mb_qos0_20260421T204444,hivemq,1mb,0,2,2026-04-21T21:41:20.329289+00:00,1107.7,results/1mb/captures/hivemq_1mb_qos0_20260421T204444.pcap,12000.0,12000.0,12585775475.0,,1.0,0.48,15.97,12.6GB,12.6GB,73.9MB,2.37GB,57
hivemq_1mb_qos0_20260421T204444,hivemq,1mb,0,3,2026-04-21T22:00:01.418189+00:00,1112.38,results/1mb/captures/hivemq_1mb_qos0_20260421T204444.pcap,15962.0,15962.0,16741179035.0,,1.0,0.40,15.64,16.8GB,16.8GB,76.5MB,3.15GB,57
hivemq_1mb_qos0_20260421T204444,hivemq,1mb,0,4,2026-04-21T22:18:44.280421+00:00,1115.76,results/1mb/captures/hivemq_1mb_qos0_20260421T204444.pcap,19972.0,19972.0,20946925697.0,,1.0,0.85,15.73,21.1GB,21.1GB,83.1MB,4.07GB,59
hivemq_1mb_qos0_20260421T204444,hivemq,1mb,0,5,2026-04-21T22:37:26.385067+00:00,1113.3,results/1mb/captures/hivemq_1mb_qos0_20260421T204444.pcap,23984.0,23984.0,25154770048.0,,1.0,0.55,15.72,25.3GB,25.3GB,87.8MB,4.83GB,57
hivemq_1mb_qos0_20260421T204444,hivemq,1mb,0,6,2026-04-21T22:56:00.644400+00:00,1106.66,results/1mb/captures/hivemq_1mb_qos0_20260421T204444.pcap,27960.0,27960.0,29324857008.0,,1.0,1.09,15.39,29.5GB,29.5GB,93.5MB,5.58GB,57
hivemq_1mb_qos0_20260421T204444,hivemq,1mb,0,7,2026-04-21T23:14:31.173187+00:00,1103.55,results/1mb/captures/hivemq_1mb_qos0_20260421T204444.pcap,31998.0,31998.0,33559970463.0,,1.0,0.66,15.39,33.7GB,33.7GB,98.9MB,6.31GB,57
hivemq_1mb_qos0_20260421T204444,hivemq,1mb,0,8,2026-04-21T23:33:00.871030+00:00,1102.17,results/1mb/captures/hivemq_1mb_qos0_20260421T204444.pcap,35994.0,35994.0,37751033731.0,,1.0,0.65,15.13,37.9GB,37.9GB,101MB,7.09GB,57
hivemq_1mb_qos0_20260421T204444,hivemq,1mb,0,9,2026-04-21T23:51:29.962129+00:00,1101.57,results/1mb/captures/hivemq_1mb_qos0_20260421T204444.pcap,39980.0,39980.0,41931608867.0,,1.0,0.71,14.84,42.1GB,42.1GB,102MB,7.84GB,57
