experiment_id,broker,payload_size,qos,execution,timestamp,elapsed_s,pcap_file,prom_broker_messages_received,prom_broker_messages_sent,prom_broker_bytes_received,prom_broker_bytes_sent,prom_broker_clients_connected,broker_cpu_pct,broker_mem_pct,broker_net_rx,broker_net_tx,broker_blk_r,broker_blk_w,broker_pids
mosquitto_1mb_qos0_20260421T235150,mosquitto,1mb,0,0,2026-04-22T00:10:51.620603+00:00,1086.01,results/1mb/captures/mosquitto_1mb_qos0_20260421T235150.pcap,12080.0,15813.0,4170088222.0,4170209482.0,2.0,0.08,0.17,4.21GB,4.21GB,11.7MB,0B,1
mosquitto_1mb_qos0_20260421T235150,mosquitto,1mb,0,1,2026-04-22T00:29:02.333686+00:00,1083.18,results/1mb/captures/mosquitto_1mb_qos0_20260421T235150.pcap,24126.0,31266.0,8331785799.0,8332017624.0,3.0,0.07,0.17,8.41GB,8.42GB,11.7MB,0B,1
mosquitto_1mb_qos0_20260421T235150,mosquitto,1mb,0,2,2026-04-22T00:47:14.003125+00:00,1082.57,results/1mb/captures/mosquitto_1mb_qos0_20260421T235150.pcap,36271.0,46837.0,12527045510.0,12527389198.0,2.0,0.07,0.17,12.6GB,12.6GB,11.8MB,0B,1
mosquitto_1mb_qos0_20260421T235150,mosquitto,1mb,0,3,2026-04-22T01:05:25.423794+00:00,1084.13,results/1mb/captures/mosquitto_1mb_qos0_20260421T235150.pcap,48579.0,62736.0,16778941179.0,16779403496.0,2.0,0.07,0.18,16.8GB,16.8GB,12.1MB,0B,1
mosquitto_1mb_qos0_20260421T235150,mosquitto,1mb,0,4,2026-04-22T01:23:35.164751+00:00,1082.47,results/1mb/captures/mosquitto_1mb_qos0_20260421T235150.pcap,60644.0,78346.0,20946931615.0,20947511404.0,2.0,0.10,0.18,21GB,21GB,12.1MB,0B,1
mosquitto_1mb_qos0_20260421T235150,mosquitto,1mb,0,5,2026-04-22T01:41:44.651528+00:00,1081.93,results/1mb/captures/mosquitto_1mb_qos0_20260421T235150.pcap,72755.0,93876.0,25130654231.0,25131346245.0,2.0,0.06,0.18,25.2GB,25.2GB,12.1MB,0B,1
mosquitto_1mb_qos0_20260421T235150,mosquitto,1mb,0,6,2026-04-22T01:59:56.640344+00:00,1083.02,results/1mb/captures/mosquitto_1mb_qos0_20260421T235150.pcap,84822.0,109338.0,29299693463.0,29300496975.0,2.0,0.07,0.17,29.5GB,29.5GB,12.1MB,0B,1
mosquitto_1mb_qos0_20260421T235150,mosquitto,1mb,0,7,2026-04-22T02:18:04.873493+00:00,1081.06,results/1mb/captures/mosquitto_1mb_qos0_20260421T235150.pcap,97076.0,125096.0,33532710393.0,33533629503.0,2.0,0.05,0.17,33.7GB,33.7GB,12.1MB,0B,1
mosquitto_1mb_qos0_20260421T235150,mosquitto,1mb,0,8,2026-04-22T02:36:11.624433+00:00,1079.2,results/1mb/captures/mosquitto_1mb_qos0_20260421T235150.pcap,109217.0,140697.0,37727969983.0,37729003725.0,2.0,0.07,0.17,37.9GB,37.9GB,12.1MB,0B,1
mosquitto_1mb_qos0_20260421T235150,mosquitto,1mb,0,9,2026-04-22T02:54:19.497267+00:00,1080.27,results/1mb/captures/mosquitto_1mb_qos0_20260421T235150.pcap,121267.0,156220.0,41889667608.0,41890817298.0,3.0,0.04,0.18,42.1GB,42.1GB,12.1MB,0B,1
