experiment_id,broker,payload_size,qos,execution,timestamp,elapsed_s,pcap_file,prom_nanomq_messages_received,prom_nanomq_messages_sent,prom_nanomq_connections_count,prom_nanomq_memory_usage,prom_nanomq_cpu_usage,broker_cpu_pct,broker_mem_pct,broker_net_rx,broker_net_tx,broker_blk_r,broker_blk_w,broker_pids
nanomq_1mb_qos0_20260422T025433,nanomq,1mb,0,0,2026-04-22T03:13:18.443627+00:00,1076.65,results/1mb/captures/nanomq_1mb_qos0_20260422T025433.pcap,11952.0,3983.0,1.0,1900544.0,0.78,0.00,0.07,4.21GB,4.21GB,3.28MB,4.1kB,14
nanomq_1mb_qos0_20260422T025433,nanomq,1mb,0,1,2026-04-22T03:31:19.744166+00:00,1074.25,results/1mb/captures/nanomq_1mb_qos0_20260422T025433.pcap,23946.0,7981.0,1.0,1802240.0,0.81,0.00,0.07,8.41GB,8.41GB,3.28MB,4.1kB,14
nanomq_1mb_qos0_20260422T025433,nanomq,1mb,0,2,2026-04-22T03:49:21.579625+00:00,1074.99,results/1mb/captures/nanomq_1mb_qos0_20260422T025433.pcap,35928.0,11975.0,1.0,1912832.0,0.81,0.00,0.07,12.6GB,12.6GB,3.28MB,4.1kB,14
nanomq_1mb_qos0_20260422T025433,nanomq,1mb,0,3,2026-04-22T04:07:21.656148+00:00,1072.54,results/1mb/captures/nanomq_1mb_qos0_20260422T025433.pcap,47924.0,15972.0,1.0,3457024.0,0.84,0.09,0.07,16.8GB,16.8GB,3.28MB,4.1kB,14
nanomq_1mb_qos0_20260422T025433,nanomq,1mb,0,4,2026-04-22T04:25:22.273988+00:00,1072.22,results/1mb/captures/nanomq_1mb_qos0_20260422T025433.pcap,59903.0,19966.0,1.0,1921024.0,0.85,0.00,0.07,21GB,21GB,3.28MB,4.1kB,14
nanomq_1mb_qos0_20260422T025433,nanomq,1mb,0,5,2026-04-22T04:43:20.458813+00:00,1070.84,results/1mb/captures/nanomq_1mb_qos0_20260422T025433.pcap,71897.0,23964.0,1.0,1912832.0,0.88,0.00,0.07,25.2GB,25.2GB,3.28MB,4.1kB,14
nanomq_1mb_qos0_20260422T025433,nanomq,1mb,0,6,2026-04-22T05:01:23.020186+00:00,1074.15,results/1mb/captures/nanomq_1mb_qos0_20260422T025433.pcap,83999.0,27998.0,1.0,1814528.0,0.88,0.07,0.07,29.5GB,29.5GB,3.28MB,4.1kB,14
nanomq_1mb_qos0_20260422T025433,nanomq,1mb,0,7,2026-04-22T05:19:31.233783+00:00,1081.02,results/1mb/captures/nanomq_1mb_qos0_20260422T025433.pcap,95879.0,31958.0,1.0,1912832.0,0.85,0.00,0.07,33.7GB,33.7GB,3.28MB,4.1kB,14
nanomq_1mb_qos0_20260422T025433,nanomq,1mb,0,8,2026-04-22T05:37:31.256729+00:00,1071.32,results/1mb/captures/nanomq_1mb_qos0_20260422T025433.pcap,107837.0,35944.0,1.0,1851392.0,0.82,0.10,0.07,37.9GB,37.9GB,3.28MB,4.1kB,14
nanomq_1mb_qos0_20260422T025433,nanomq,1mb,0,9,2026-04-22T05:55:32.901103+00:00,1074.1,results/1mb/captures/nanomq_1mb_qos0_20260422T025433.pcap,119927.0,39974.0,1.0,1921024.0,0.88,0.00,0.07,42.1GB,42.1GB,3.28MB,4.1kB,14
