experiment_id,broker,payload_size,qos,execution,timestamp,elapsed_s,pcap_file,prom_rabbitmq_channel_messages_published_total,prom_rabbitmq_channel_messages_delivered_total,prom_rabbitmq_connection_incoming_bytes_total,prom_rabbitmq_connection_outgoing_bytes_total,prom_rabbitmq_connections,broker_cpu_pct,broker_mem_pct,broker_net_rx,broker_net_tx,broker_blk_r,broker_blk_w,broker_pids
rabbitmq_1mb_qos0_20260505T170044,rabbitmq,1mb,0,0,2026-05-05T17:19:25.113156+00:00,1070.58,results/1mb/captures/rabbitmq_1mb_qos0_20260505T170044.pcap,0.0,0.0,87.0,4147781117.0,1.0,0.62,4.45,4.21GB,4.21GB,63.4MB,1.22MB,28
rabbitmq_1mb_qos0_20260505T170044,rabbitmq,1mb,0,1,2026-05-05T17:37:18.737140+00:00,1066.42,results/1mb/captures/rabbitmq_1mb_qos0_20260505T170044.pcap,0.0,0.0,105.0,8357438121.0,1.0,0.44,4.52,8.41GB,8.41GB,63.4MB,1.22MB,28
rabbitmq_1mb_qos0_20260505T170044,rabbitmq,1mb,0,2,2026-05-05T17:55:00.558025+00:00,1054.3,results/1mb/captures/rabbitmq_1mb_qos0_20260505T170044.pcap,0.0,0.0,121.0,12521999065.0,1.0,0.41,4.50,12.6GB,12.6GB,63.4MB,1.22MB,28
rabbitmq_1mb_qos0_20260505T170044,rabbitmq,1mb,0,3,2026-05-05T18:12:37.407026+00:00,1049.6,results/1mb/captures/rabbitmq_1mb_qos0_20260505T170044.pcap,0.0,0.0,139.0,16737948424.0,1.0,0.29,4.33,16.8GB,16.8GB,63.4MB,1.22MB,28
rabbitmq_1mb_qos0_20260505T170044,rabbitmq,1mb,0,4,2026-05-05T18:30:10.098223+00:00,1045.87,results/1mb/captures/rabbitmq_1mb_qos0_20260505T170044.pcap,0.0,0.0,157.0,20951800287.0,1.0,0.57,4.36,21GB,21GB,63.4MB,1.22MB,28
rabbitmq_1mb_qos0_20260505T170044,rabbitmq,1mb,0,5,2026-05-05T18:47:44.438800+00:00,1046.79,results/1mb/captures/rabbitmq_1mb_qos0_20260505T170044.pcap,0.0,0.0,173.0,25109019983.0,1.0,2.09,4.35,25.2GB,25.2GB,63.4MB,1.22MB,28
rabbitmq_1mb_qos0_20260505T170044,rabbitmq,1mb,0,6,2026-05-05T19:05:21.046170+00:00,1049.63,results/1mb/captures/rabbitmq_1mb_qos0_20260505T170044.pcap,0.0,0.0,191.0,29305043256.0,1.0,0.57,4.57,29.4GB,29.4GB,63.4MB,1.22MB,28
rabbitmq_1mb_qos0_20260505T170044,rabbitmq,1mb,0,7,2026-05-05T19:22:57.063691+00:00,1048.18,results/1mb/captures/rabbitmq_1mb_qos0_20260505T170044.pcap,0.0,0.0,209.0,33509456454.0,1.0,0.37,4.32,33.7GB,33.7GB,63.4MB,1.22MB,28
rabbitmq_1mb_qos0_20260505T170044,rabbitmq,1mb,0,8,2026-05-05T19:40:27.816869+00:00,1043.9,results/1mb/captures/rabbitmq_1mb_qos0_20260505T170044.pcap,0.0,0.0,227.0,37726454585.0,1.0,0.65,4.06,37.9GB,37.9GB,63.4MB,1.22MB,28
rabbitmq_1mb_qos0_20260505T170044,rabbitmq,1mb,0,9,2026-05-05T19:57:58.374452+00:00,1043.68,results/1mb/captures/rabbitmq_1mb_qos0_20260505T170044.pcap,0.0,0.0,243.0,41886820514.0,1.0,0.30,4.55,42.1GB,42.1GB,63.4MB,1.22MB,28
