experiment_id,broker,payload_size,qos,execution,timestamp,elapsed_s,pcap_file,prom_com_hivemq_messages_incoming_publish_count,prom_com_hivemq_messages_outgoing_publish_count,prom_com_hivemq_networking_bytes_read_total,prom_com_hivemq_networking_bytes_written_total,prom_com_hivemq_subscriptions_overall_current,broker_cpu_pct,broker_mem_pct,broker_net_rx,broker_net_tx,broker_blk_r,broker_blk_w,broker_pids
hivemq_35kb_qos0_20260420T051825,hivemq,35kb,0,0,2026-04-20T05:36:21.761214+00:00,1017.47,results/35kb/captures/hivemq_35kb_qos0_20260420T051825.pcap,3976.0,3976.0,143448694.0,,1.0,0.90,6.38,147MB,147MB,13.7MB,199MB,106
hivemq_35kb_qos0_20260420T051825,hivemq,35kb,0,1,2026-04-20T05:53:26.274282+00:00,1017.53,results/35kb/captures/hivemq_35kb_qos0_20260420T051825.pcap,7962.0,7962.0,287258129.0,,1.0,1.11,6.81,295MB,294MB,15.5MB,372MB,106
hivemq_35kb_qos0_20260420T051825,hivemq,35kb,0,2,2026-04-20T06:10:27.790271+00:00,1014.62,results/35kb/captures/hivemq_35kb_qos0_20260420T051825.pcap,11944.0,11944.0,430923180.0,,1.0,0.90,7.34,442MB,442MB,18MB,549MB,106
hivemq_35kb_qos0_20260420T051825,hivemq,35kb,0,3,2026-04-20T06:27:29.111883+00:00,1014.51,results/35kb/captures/hivemq_35kb_qos0_20260420T051825.pcap,15998.0,15998.0,577185910.0,,1.0,1.28,7.35,590MB,589MB,18.9MB,722MB,106
hivemq_35kb_qos0_20260420T051825,hivemq,35kb,0,4,2026-04-20T06:44:30.271840+00:00,1013.44,results/35kb/captures/hivemq_35kb_qos0_20260420T051825.pcap,19992.0,19992.0,721283933.0,,1.0,1.08,7.59,737MB,736MB,19.6MB,898MB,106
hivemq_35kb_qos0_20260420T051825,hivemq,35kb,0,5,2026-04-20T07:01:31.417839+00:00,1013.97,results/35kb/captures/hivemq_35kb_qos0_20260420T051825.pcap,23988.0,23988.0,865454156.0,,1.0,0.94,7.42,884MB,884MB,20MB,1.07GB,106
hivemq_35kb_qos0_20260420T051825,hivemq,35kb,0,6,2026-04-20T07:18:31.425978+00:00,1012.88,results/35kb/captures/hivemq_35kb_qos0_20260420T051825.pcap,27982.0,27982.0,1009552174.0,,1.0,1.15,7.63,1.03GB,1.03GB,20.9MB,1.25GB,106
hivemq_35kb_qos0_20260420T051825,hivemq,35kb,0,7,2026-04-20T07:35:33.203903+00:00,1014.63,results/35kb/captures/hivemq_35kb_qos0_20260420T051825.pcap,31972.0,31972.0,1153505910.0,,1.0,1.11,7.65,1.18GB,1.18GB,21.8MB,1.43GB,106
hivemq_35kb_qos0_20260420T051825,hivemq,35kb,0,8,2026-04-20T07:52:34.782868+00:00,1014.44,results/35kb/captures/hivemq_35kb_qos0_20260420T051825.pcap,35960.0,35960.0,1297387472.0,,1.0,1.09,7.57,1.33GB,1.33GB,22.9MB,1.6GB,106
hivemq_35kb_qos0_20260420T051825,hivemq,35kb,0,9,2026-04-20T08:09:33.265712+00:00,1011.34,results/35kb/captures/hivemq_35kb_qos0_20260420T051825.pcap,39956.0,39956.0,1441557801.0,,1.0,1.05,7.67,1.47GB,1.47GB,23.3MB,1.78GB,106
