experiment_id,broker,payload_size,qos,execution,timestamp,elapsed_s,pcap_file,prom_broker_messages_received,prom_broker_messages_sent,prom_broker_bytes_received,prom_broker_bytes_sent,prom_broker_clients_connected,broker_cpu_pct,broker_mem_pct,broker_net_rx,broker_net_tx,broker_blk_r,broker_blk_w,broker_pids
mosquitto_35kb_qos0_20260420T110151,mosquitto,35kb,0,0,2026-04-20T11:19:34.215283+00:00,1009.63,results/35kb/captures/mosquitto_35kb_qos0_20260420T110151.pcap,12013.0,15237.0,142706673.0,142788847.0,2.0,0.10,0.08,148MB,147MB,10.8MB,0B,1
mosquitto_35kb_qos0_20260420T110151,mosquitto,35kb,0,1,2026-04-20T11:36:31.164765+00:00,1009.41,results/35kb/captures/mosquitto_35kb_qos0_20260420T110151.pcap,24130.0,30238.0,286733617.0,286900849.0,2.0,0.18,0.08,296MB,295MB,11MB,0B,1
mosquitto_35kb_qos0_20260420T110151,mosquitto,35kb,0,2,2026-04-20T11:53:27.920063+00:00,1009.21,results/35kb/captures/mosquitto_35kb_qos0_20260420T110151.pcap,36259.0,45232.0,430904943.0,431156314.0,2.0,0.09,0.08,444MB,442MB,11MB,0B,1
mosquitto_35kb_qos0_20260420T110151,mosquitto,35kb,0,3,2026-04-20T12:10:24.649929+00:00,1009.19,results/35kb/captures/mosquitto_35kb_qos0_20260420T110151.pcap,48435.0,60281.0,575653487.0,575989286.0,2.0,0.07,0.08,592MB,590MB,11MB,0B,1
mosquitto_35kb_qos0_20260420T110151,mosquitto,35kb,0,4,2026-04-20T12:27:20.777573+00:00,1008.58,results/35kb/captures/mosquitto_35kb_qos0_20260420T110151.pcap,60564.0,75324.0,719824812.0,720247041.0,2.0,0.14,0.08,740MB,737MB,11MB,0B,1
mosquitto_35kb_qos0_20260420T110151,mosquitto,35kb,0,5,2026-04-20T12:44:17.491227+00:00,1009.17,results/35kb/captures/mosquitto_35kb_qos0_20260420T110151.pcap,72681.0,90354.0,863851806.0,864360432.0,2.0,0.07,0.09,888MB,884MB,11MB,0B,1
mosquitto_35kb_qos0_20260420T110151,mosquitto,35kb,0,6,2026-04-20T13:01:13.863797+00:00,1008.84,results/35kb/captures/mosquitto_35kb_qos0_20260420T110151.pcap,84810.0,105389.0,1008023155.0,1008617925.0,2.0,0.05,0.09,1.04GB,1.03GB,11.4MB,0B,1
mosquitto_35kb_qos0_20260420T110151,mosquitto,35kb,0,7,2026-04-20T13:18:10.088430+00:00,1008.7,results/35kb/captures/mosquitto_35kb_qos0_20260420T110151.pcap,96927.0,120354.0,1152050142.0,1152729649.0,4.0,0.08,0.09,1.18GB,1.18GB,11.5MB,0B,1
mosquitto_35kb_qos0_20260420T110151,mosquitto,35kb,0,8,2026-04-20T13:35:05.329890+00:00,1007.69,results/35kb/captures/mosquitto_35kb_qos0_20260420T110151.pcap,109248.0,135640.0,1298530472.0,1299299073.0,2.0,0.08,0.10,1.33GB,1.33GB,11.5MB,0B,1
mosquitto_35kb_qos0_20260420T110151,mosquitto,35kb,0,9,2026-04-20T13:52:01.434946+00:00,1008.57,results/35kb/captures/mosquitto_35kb_qos0_20260420T110151.pcap,121377.0,150677.0,1442701755.0,1443557837.0,2.0,0.21,0.10,1.48GB,1.47GB,11.5MB,0B,1
