experiment_id,broker,payload_size,qos,execution,timestamp,elapsed_s,pcap_file,prom_rabbitmq_channel_messages_published_total,prom_rabbitmq_channel_messages_delivered_total,prom_rabbitmq_connection_incoming_bytes_total,prom_rabbitmq_connection_outgoing_bytes_total,prom_rabbitmq_connections,broker_cpu_pct,broker_mem_pct,broker_net_rx,broker_net_tx,broker_blk_r,broker_blk_w,broker_pids
rabbitmq_35kb_qos0_20260504T220320,rabbitmq,35kb,0,0,2026-05-04T22:21:54.916397+00:00,1062.86,results/35kb/captures/rabbitmq_35kb_qos0_20260504T220320.pcap,0.0,0.0,87.0,139709594.0,1.0,0.38,3.63,148MB,144MB,63.9MB,709kB,28
rabbitmq_35kb_qos0_20260504T220320,rabbitmq,35kb,0,1,2026-05-04T22:39:50.503676+00:00,1066.75,results/35kb/captures/rabbitmq_35kb_qos0_20260504T220320.pcap,0.0,0.0,105.0,280751500.0,1.0,0.96,3.68,296MB,288MB,63.9MB,709kB,28
rabbitmq_35kb_qos0_20260504T220320,rabbitmq,35kb,0,2,2026-05-04T22:57:50.078852+00:00,1072.82,results/35kb/captures/rabbitmq_35kb_qos0_20260504T220320.pcap,0.0,0.0,121.0,422117468.0,1.0,0.61,3.70,444MB,433MB,63.9MB,741kB,28
rabbitmq_35kb_qos0_20260504T220320,rabbitmq,35kb,0,3,2026-05-04T23:15:51.549747+00:00,1072.69,results/35kb/captures/rabbitmq_35kb_qos0_20260504T220320.pcap,0.0,0.0,139.0,561791072.0,1.0,15.25,4.35,591MB,578MB,63.9MB,741kB,50
rabbitmq_35kb_qos0_20260504T220320,rabbitmq,35kb,0,4,2026-05-04T23:33:51.384154+00:00,1072.72,results/35kb/captures/rabbitmq_35kb_qos0_20260504T220320.pcap,0.0,0.0,108392.0,704345363.0,1.0,0.56,3.68,739MB,723MB,63.9MB,741kB,28
rabbitmq_35kb_qos0_20260504T220320,rabbitmq,35kb,0,5,2026-05-04T23:51:53.453295+00:00,1074.48,results/35kb/captures/rabbitmq_35kb_qos0_20260504T220320.pcap,0.0,0.0,108409.0,843334845.0,1.0,1.12,3.69,887MB,865MB,63.9MB,741kB,28
rabbitmq_35kb_qos0_20260504T220320,rabbitmq,35kb,0,6,2026-05-05T00:09:53.637564+00:00,1071.24,results/35kb/captures/rabbitmq_35kb_qos0_20260504T220320.pcap,0.0,0.0,72346.0,983584560.0,1.0,1.23,3.66,1.03GB,1.01GB,63.9MB,741kB,28
rabbitmq_35kb_qos0_20260504T220320,rabbitmq,35kb,0,7,2026-05-05T00:27:56.028942+00:00,1075.04,results/35kb/captures/rabbitmq_35kb_qos0_20260504T220320.pcap,0.0,0.0,207.0,1122826082.0,1.0,0.65,3.66,1.18GB,1.15GB,63.9MB,741kB,28
rabbitmq_35kb_qos0_20260504T220320,rabbitmq,35kb,0,8,2026-05-05T00:46:01.413679+00:00,1078.39,results/35kb/captures/rabbitmq_35kb_qos0_20260504T220320.pcap,0.0,0.0,72382.0,1263039792.0,1.0,1.01,3.66,1.33GB,1.29GB,63.9MB,741kB,28
rabbitmq_35kb_qos0_20260504T220320,rabbitmq,35kb,0,9,2026-05-05T01:03:57.764900+00:00,1068.78,results/35kb/captures/rabbitmq_35kb_qos0_20260504T220320.pcap,0.0,0.0,108475.0,1402821427.0,1.0,1.28,3.68,1.48GB,1.44GB,63.9MB,741kB,28
